Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S58280459,Greater Rhea,Rhea americana,10,9,AR-W,Ituzaingó,L9662061,"Ruta Provincial 41, Ituzaingó AR-Corrientes (-27.7453,-56.4760)",-27.745286,-56.475999,2019-07-16,10:26 AM,eBird - Casual Observation,,0,,,3
S58373463,Brown Tinamou,Crypturellus obsoletus,75,4,AR-N,Iguazú,L9680879,"AR-Misiones-Iguazú (-25.8644,-54.1962)",-25.864357,-54.196155,2019-07-22,07:15 AM,eBird - Traveling Count,330,1,4.828,,2,,,Excursion with local guide Fernando Cabral of Potoo Birding. ,169271251 169271261
S32776386,Spotted Nothura,Nothura maculosa,173,1,AR-E,Islas del Ibicuy,L844920,Ceibas,-33.4984608,-58.7883568,2016-07-16,07:30 AM,eBird - Traveling Count,420,1,10.,,2,,,Driving to various hotspots in Ceibas with the inimitable Diego Gallegos,44420561 44420571
S32776386,Southern Screamer,Chauna torquata,224,100,AR-E,Islas del Ibicuy,L844920,Ceibas,-33.4984608,-58.7883568,2016-07-16,07:30 AM,eBird - Traveling Count,420,1,10.,,2,,,Driving to various hotspots in Ceibas with the inimitable Diego Gallegos,44420521 44420531
S58229632,Southern Screamer,Chauna torquata,224,4,AR-W,San Martín,L9651088,"AR-Corrientes-San Martín (-28.5413,-57.2037)",-28.541278,-57.203656,2019-07-16,02:32 PM,eBird - Traveling Count,110,1,4.828,,1
S58262324,Southern Screamer,Chauna torquata,224,25,AR-W,San Martín,L484766,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),-28.5355205,-57.1742249,2019-07-17,07:30 AM,eBird - Traveling Count,300,1,12.875,,2
S32430075,Southern Screamer,Chauna torquata,224,1,AR-C,,L472208,Reserva Ecológica Costanera Sur,-34.6082039,-58.3539677,2016-06-25,09:00 AM,eBird - Traveling Count,270,1,5.633,,1,,,,122735621 122735631
S58078272,Southern Screamer,Chauna torquata,224,4,AR-C,,L472208,Reserva Ecológica Costanera Sur,-34.6082039,-58.3539677,2019-07-10,08:05 AM,eBird - Traveling Count,260,1,6.437,,1,,,,167864761
S58421483,Southern Screamer,Chauna torquata,224,4,AR-C,,L472208,Reserva Ecológica Costanera Sur,-34.6082039,-58.3539677,2019-07-24,09:28 AM,eBird - Traveling Count,300,1,6.437,,1
S32776386,White-faced Whistling-Duck,Dendrocygna viduata,231,X,AR-E,Islas del Ibicuy,L844920,Ceibas,-33.4984608,-58.7883568,2016-07-16,07:30 AM,eBird - Traveling Count,420,1,10.,,2,,,Driving to various hotspots in Ceibas with the inimitable Diego Gallegos
S58229632,White-faced Whistling-Duck,Dendrocygna viduata,231,9,AR-W,San Martín,L9651088,"AR-Corrientes-San Martín (-28.5413,-57.2037)",-28.541278,-57.203656,2019-07-16,02:32 PM,eBird - Traveling Count,110,1,4.828,,1
S98881019,White-faced Whistling-Duck,Dendrocygna viduata,231,5,AR-C,,L976247,Reserva Ecológica Ciudad Universitaria - Costanera Norte,-34.5385203,-58.4437037,2021-12-14,08:38 AM,eBird - Traveling Count,40,1,.805,,2,,,Nunca llegaron los guardaparques hoy así que no pudimos entrar a la reserva.
S58421483,White-faced Whistling-Duck,Dendrocygna viduata,231,11,AR-C,,L472208,Reserva Ecológica Costanera Sur,-34.6082039,-58.3539677,2019-07-24,09:28 AM,eBird - Traveling Count,300,1,6.437,,1
S38428764,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,23,US-TX,Cameron,L129070,Sabal Palm Sanctuary (LTC 042),25.85233,-97.4176839,2017-08-01,07:28 AM,eBird - Traveling Count,280,1,6.437,,1
S38435303,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,25,US-TX,Cameron,L770565,South Padre Is.--Birding and Nature Center,26.1374628,-97.1739367,2017-08-01,06:28 PM,eBird - Traveling Count,100,1,2.414,,1,,,,123740871
S38417239,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,12,US-TX,Kleberg,L1317883,Riviera School pond,27.2967542,-97.8084683,2017-07-31,04:29 PM,eBird - Stationary Count,20,1,,,1,,,,84136471
S35604114,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,9,US-FL,Palm Beach,L143084,Wakodahatchee Wetlands,26.4781984,-80.144738,2017-04-01,08:48 AM,eBird - Traveling Count,100,1,1.609,,1
S44330769,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,2,US-TX,Travis,L130766,Hornsby Bend (HOTE 037),30.2181988,-97.6458054,2018-04-07,11:50 AM,eBird - Traveling Count,45,1,2.414,,1,,,Cold and windy. Birded from car
S32383559,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,12,CR-P,,L2364240,Finca Maritima (Playa El Rey) rice fields,9.3791205,-84.0604949,2016-08-07,10:30 AM,eBird - Traveling Count,60,1,1.609,,2
S32885643,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,150,CR-G,,L445651,PN Palo Verde (área general),10.3657374,-85.3265885,2016-08-02,02:00 PM,eBird - Traveling Count,420,0,4.828,,2,,estimate,COPA and 1 BTTH seen while driving through the park on a guided night tour with OST ranger.,41866601
S33739824,Snow Goose,Anser caerulescens,256,450,US-VA,Accomack,L718378,**CHINCOTEAGUE NWR,37.9106228,-75.3479719,2017-01-16,07:00 AM,eBird - Traveling Count,120,1,4.828,,1
S41254613,Snow Goose,Anser caerulescens,256,450,US-VA,Accomack,L125059,Chincoteague NWR--Toms Cove,37.8774164,-75.3553805,2017-12-22,03:35 PM,eBird - Traveling Count,57,1,1.931,,1
S41354829,Snow Goose,Anser caerulescens,256,1,US-DE,Kent,L126637,Bombay Hook National Wildlife Refuge,39.2670818,-75.4695511,2017-12-27,02:41 PM,eBird - Traveling Count,80,1,4.828,,1
S33132075,Snow Goose,Anser caerulescens,256,1,US-VA,Virginia Beach,L2071147,Sherwood Lakes,36.7436987,-76.0185242,2016-12-21,01:30 PM,eBird - Traveling Count,15,1,.402,,1,,,,43134931
S33132075,Ross's Goose,Anser rossii,260,1,US-VA,Virginia Beach,L2071147,Sherwood Lakes,36.7436987,-76.0185242,2016-12-21,01:30 PM,eBird - Traveling Count,15,1,.402,,1,,"Staying close to the snow goose. Significantly smaller, short stubby bill",,43135021
S98880887,Graylag Goose (Domestic type),Anser anser (Domestic type),266,8,AR-C,,L1295521,Parque 3 de Febrero (Bosques de Palermo),-34.5720266,-58.416431,2021-12-14,11:57 AM,eBird - Traveling Count,31,0,.744,,1
S33132075,Greater White-fronted Goose,Anser albifrons,271,9,US-VA,Virginia Beach,L2071147,Sherwood Lakes,36.7436987,-76.0185242,2016-12-21,01:30 PM,eBird - Traveling Count,15,1,.402,,1,,Continuing. No time to count more carefully. At least 9,,43134901 43134911
S134697247,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),294,2,US-VA,Newport News,L9347571,Lions Bridge,37.0414774,-76.4873928,2023-04-23,07:32 AM,eBird - Traveling Count,18,1,.241,,1
