Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,687,species,Harlequin Duck,Histrionicus histrionicus,1,Kiptopeke SP--Fishing Pier,US-VA,02 Jan 2024,L1133976,S157839315,,1
2,35142,species,Cuban Bullfinch,Melopyrrha nigra,5,PN Topes de Collantes--Los Helechos Hotel,CU-07,23 Dec 2023,L6134619,S157511260,,1
3,33321,species,Cuban Blackbird,Ptiloxena atroviolacea,7,PN Topes de Collantes--Los Helechos Hotel,CU-07,23 Dec 2023,L6134619,S157511260,,1
4,33140,species,Cuban Oriole,Icterus melanopsis,3,PN Topes de Collantes--Los Helechos Hotel,CU-07,23 Dec 2023,L6134619,S157511260,,1
5,33016,species,Western Spindalis,Spindalis zena,6,PN Topes de Collantes--Los Helechos Hotel,CU-07,23 Dec 2023,L6134619,S157511260,,1
6,17171,species,Giant Kingbird,Tyrannus cubensis,1,PN Topes de Collantes--Los Helechos Hotel,CU-07,23 Dec 2023,L6134619,S157511260,,1
7,10982,species,West Indian Woodpecker,Melanerpes superciliaris,2,PN Topes de Collantes--Los Helechos Hotel,CU-07,23 Dec 2023,L6134619,S157511260,,1
8,10919,species,Cuban Green Woodpecker,Xiphidiopicus percussus,2,PN Topes de Collantes--Los Helechos Hotel,CU-07,23 Dec 2023,L6134619,S157511260,,1
9,3822,species,White-collared Swift,Streptoprocne zonaris,50,PN Topes de Collantes--Los Helechos Hotel,CU-07,23 Dec 2023,L6134619,S157511260,,1
10,1968,species,Scaly-naped Pigeon,Patagioenas squamosa,3,PN Topes de Collantes--Los Helechos Hotel,CU-07,23 Dec 2023,L6134619,S157511260,,1
11,8682,species,Bare-legged Owl,Margarobyas lawrencii,3,"Sancti Spíritus CU-Sancti Spíritus (21.9133,-80.0218)",CU-05,22 Dec 2023,L28487748,S157369909,,1
12,33283,species,Tawny-shouldered Blackbird,Agelaius humeralis,12,"Guanayara, Topes de Collantes",CU-05,22 Dec 2023,L28502163,S157641731,,1
13,17035,species,La Sagra's Flycatcher,Myiarchus sagrae,1,"Guanayara, Topes de Collantes",CU-05,22 Dec 2023,L28502163,S157641731,,1
14,12707,species,Cuban Parrot,Amazona leucocephala,1,"Guanayara, Topes de Collantes",CU-05,22 Dec 2023,L28502163,S157641731,,1
15,9557,species,Cuban Tody,Todus multicolor,2,"Guanayara, Topes de Collantes",CU-05,22 Dec 2023,L28502163,S157641731,,1
16,9306,species,Cuban Trogon,Priotelus temnurus,6,"Guanayara, Topes de Collantes",CU-05,22 Dec 2023,L28502163,S157641731,,1
17,4831,species,Cuban Emerald,Riccordia ricordii,1,"Guanayara, Topes de Collantes",CU-05,22 Dec 2023,L28502163,S157641731,,1
18,930,species,Helmeted Guineafowl,Numida meleagris,15,"Guanayara, Topes de Collantes",CU-05,22 Dec 2023,L28502163,S157641731,N,1
19,16618,species,Cuban Pewee,Contopus caribaeus,1,Playa Ancon,CU-07,21 Dec 2023,L352212,S156828838,,1
20,8221,species,Cuban Black Hawk,Buteogallus gundlachii,1,Playa Ancon,CU-07,21 Dec 2023,L352212,S156828838,,1
